day;month;year;cases;deaths;contry
14;12;2020;746;6;Afghanistan
13;12;2020;298;9;Afghanistan
12;12;2020;113;11;Afghanistan
11;12;2020;63;10;Afghanistan
10;12;2020;202;16;Afghanistan
9;12;2020;135;13;Afghanistan
8;12;2020;200;6;Afghanistan
7;12;2020;210;26;Afghanistan
6;12;2020;234;10;Afghanistan
5;12;2020;235;18;Afghanistan
4;12;2020;119;5;Afghanistan
3;12;2020;202;19;Afghanistan
2;12;2020;400;48;Afghanistan
1;12;2020;272;11;Afghanistan
14;12;2020;788;14;Albania
13;12;2020;879;12;Albania
12;12;2020;802;12;Albania
11;12;2020;873;14;Albania
10;12;2020;752;15;Albania
9;12;2020;753;14;Albania
8;12;2020;695;17;Albania
7;12;2020;840;16;Albania
6;12;2020;846;19;Albania
5;12;2020;801;18;Albania
4;12;2020;782;13;Albania
3;12;2020;705;17;Albania
2;12;2020;832;12;Albania
1;12;2020;557;12;Albania
14;12;2020;464;12;Algeria
13;12;2020;517;9;Algeria
12;12;2020;542;11;Algeria
11;12;2020;565;10;Algeria
10;12;2020;598;15;Algeria
9;12;2020;591;12;Algeria
8;12;2020;573;11;Algeria
7;12;2020;750;15;Algeria
6;12;2020;772;9;Algeria
5;12;2020;803;12;Algeria
4;12;2020;843;16;Algeria
3;12;2020;932;17;Algeria
2;12;2020;963;16;Algeria
1;12;2020;968;21;Algeria
14;12;2020;50;1;Andorra
13;12;2020;52;0;Andorra
12;12;2020;46;0;Andorra
11;12;2020;28;0;Andorra
10;12;2020;35;0;Andorra
9;12;2020;43;0;Andorra
8;12;2020;34;0;Andorra
7;12;2020;45;0;Andorra
6;12;2020;50;1;Andorra
5;12;2020;51;0;Andorra
4;12;2020;62;1;Andorra
3;12;2020;52;0;Andorra
2;12;2020;45;0;Andorra
1;12;2020;33;0;Andorra
14;12;2020;27;5;Angola
13;12;2020;100;1;Angola
12;12;2020;136;3;Angola
11;12;2020;121;4;Angola
10;12;2020;75;3;Angola
9;12;2020;81;1;Angola
8;12;2020;112;0;Angola
7;12;2020;0;0;Angola
6;12;2020;43;1;Angola
5;12;2020;132;1;Angola
4;12;2020;42;1;Angola
3;12;2020;68;1;Angola
2;12;2020;112;2;Angola
1;12;2020;36;2;Angola
14;12;2020;0;0;Anguilla
13;12;2020;0;0;Anguilla
12;12;2020;0;0;Anguilla
11;12;2020;0;0;Anguilla
10;12;2020;0;0;Anguilla
9;12;2020;1;0;Anguilla
8;12;2020;0;0;Anguilla
7;12;2020;2;0;Anguilla
6;12;2020;0;0;Anguilla
5;12;2020;1;0;Anguilla
